route_id,timestamp
474,00:00:00
499,00:00:00
475,00:00:00
474,00:00:00
281,00:00:00
507,00:00:00
272,00:02:00
498,00:02:00
498,00:03:00
272,00:03:00
507,00:03:00
507,00:04:00
272,00:04:00
271,00:05:00
249,00:06:00
500,00:06:00
282,00:07:00
486,00:07:00
272,00:08:00
249,00:08:00
500,00:08:00
487,00:09:00
500,00:09:00
474,00:09:00
474,00:09:00
498,00:10:00
475,00:10:00
78,00:10:00
508,00:10:00
498,00:10:00
281,00:10:00
499,00:11:00
500,00:11:00
272,00:11:00
487,00:11:00
466,00:12:00
499,00:12:00
271,00:12:00
474,00:12:00
487,00:12:00
507,00:13:00
271,00:13:00
466,00:13:00
499,00:13:00
475,00:14:00
507,00:14:00
230,00:15:00
271,00:15:00
500,00:15:00
238,00:16:00
474,00:17:00
499,00:17:00
271,00:17:00
272,00:18:00
466,00:18:00
272,00:18:00
239,00:19:00
306,00:19:00
500,00:20:00
239,00:21:00
474,00:22:00
475,00:22:00
273,00:23:00
487,00:23:00
474,00:23:00
500,00:23:00
273,00:24:00
273,00:24:00
500,00:24:00
263,00:24:00
500,00:25:00
498,00:25:00
232,00:25:00
281,00:26:00
238,00:26:00
240,00:27:00
508,00:27:00
271,00:28:00
500,00:28:00
281,00:29:00
487,00:31:00
500,00:32:00
499,00:32:00
499,00:33:00
500,00:34:00
507,00:34:00
269,00:35:00
239,00:36:00
249,00:36:00
306,00:37:00
282,00:37:00
499,00:37:00
499,00:37:00
262,00:38:00
281,00:38:00
499,00:38:00
500,00:39:00
271,00:40:00
466,00:40:00
499,00:40:00
474,00:40:00
507,00:41:00
466,00:41:00
508,00:41:00
272,00:42:00
499,00:42:00
507,00:42:00
508,00:42:00
475,00:42:00
269,00:43:00
262,00:44:00
465,00:44:00
499,00:44:00
266,00:45:00
281,00:45:00
498,00:46:00
239,00:46:00
466,00:46:00
498,00:46:00
508,00:46:00
465,00:46:00
466,00:46:00
239,00:47:00
498,00:47:00
507,00:47:00
508,00:48:00
282,00:48:00
507,00:48:00
508,00:48:00
